REPOSITORY                                      TAG                                        IMAGE ID       CREATED              SIZE
yourname/ubuntu-tmp-file                        latest                                     7469c233d599   About a minute ago   63.1MB
hub.invitor.com/invitor_backend                 develop-20230203-654                       9af3c2e18fda   2 weeks ago          534MB
hub.invitor.com/invitor_backend                 latest                                     9af3c2e18fda   2 weeks ago          534MB
hub.invitor.com/invitor_messenger               latest                                     c7da2a6d5610   2 weeks ago          301MB
gralinte/front-admin2                           18.13-alpine3.17                           63c936793711   4 weeks ago          919MB
envoyproxy/envoy                                v1.25.0                                    5af2585e22ed   4 weeks ago          144MB
bitnami/mongodb                                 6.0                                        9e84da21d47f   4 weeks ago          589MB
curiefense/traffic-metrics-exporter             main                                       01bbff2b56ec   5 weeks ago          149MB
curiefense/redis                                main                                       99b9d9d45cae   5 weeks ago          113MB
curiefense/prometheus                           main                                       4bcb32740741   5 weeks ago          193MB
curiefense/grafana                              main                                       b259d892dfd6   5 weeks ago          202MB
curiefense/curiesync                            main                                       6ef5e298a8ef   5 weeks ago          286MB
curiefense/curieproxy-nginx                     main                                       5530a746b360   5 weeks ago          866MB
curiefense/curieproxy-envoy                     main                                       61cc0624eafa   5 weeks ago          412MB
curiefense/confserver                           main                                       c1395586a031   5 weeks ago          503MB
curiefense/uiserver                             main                                       efadce5a1a5f   5 weeks ago          40.6MB
node                                            lts-alpine3.17                             264f8646c2a6   6 weeks ago          173MB
hub.gralinte.com/prod-space/clientfrontend      v2.11.2-cargo-71-stage1                    6361038be24a   6 weeks ago          172MB
bkimminich/juice-shop                           latest                                     e738dcc64559   6 weeks ago          575MB
ubuntu                                          18.04                                      e28a50f651f9   7 weeks ago          63.1MB
hub.gralinte.com/prod-space/gazidbackend        v1.4.5-37-production                       0c02b798c5d1   7 weeks ago          748MB
hub.invitor.com/landing                         20221229-102109                            8c4461249fc8   7 weeks ago          28.3MB
hub.gralinte.com/prod-space/clientfrontend      v2.11.1-cargo-68-stage1                    2b74113a5755   7 weeks ago          172MB
hub.invitor.com/invitor_backend                 develop-20221227-584                       7c6ea4aac168   7 weeks ago          531MB
jmalloc/echo-server                             latest                                     3e8b363b62d2   2 months ago         5.05MB
gralinte/nginx-tcp-proxy                        nginx-1.23.3                               cf1e7b625945   2 months ago         142MB
hub.invitor.com/invitor_messenger               16122022_4                                 e02740f0ea63   2 months ago         299MB
hub.gralinte.com/prod-space/gazidbackend        v1.4.3-34-production                       9c47eca83a92   2 months ago         639MB
hub.gralinte.com/prod-space/gazidbackend        v1.4.2-31-production                       81950962be1a   2 months ago         639MB
vectorized/redpanda                             latest                                     c28809b85285   2 months ago         318MB
node                                            18.12-alpine3.17                           6d7b7852bcd3   2 months ago         169MB
envoyproxy/envoy                                v1.24-latest                               31c5425ee9f7   2 months ago         146MB
envoyproxy/envoy                                v1.24.1                                    31c5425ee9f7   2 months ago         146MB
sentry-cleanup-self-hosted-local                latest                                     25a840033cf4   2 months ago         904MB
